n_neurons_l0,activation_l0,alpha_l0,dropout_l0,n_layers,n_neurons_l1,activation_l1,dropout_l1,n_neurons_l2,activation_l2,dropout_l2,lr,optimizer,batch_size,value,n_params,trial_number,alpha_l1,alpha_l2,n_neurons_l3,activation_l3,dropout_l3,n_neurons_l4,activation_l4,dropout_l4,alpha_l3,n_neurons_l5,activation_l5,alpha_l5,dropout_l5,n_neurons_l6,activation_l6,dropout_l6,n_neurons_l7,activation_l7,dropout_l7,alpha_l4,alpha_l6,alpha_l7
241,tanh,,0.353,5,561,relu,0.079,416,elu,0.448,0.0004,RMSprop,407,0.9995076060295105,,90,,,545.0,swish,0.18,778.0,leaky_relu,0.41600000000000004,,,,,,,,,,,,0.11,,
193,swish,,0.213,4,403,relu,0.358,470,swish,0.375,0.0077,Adam,251,0.9860717058181763,,91,,,769.0,elu,0.374,,,,,,,,,,,,,,,,,
227,leaky_relu,0.02,0.277,6,506,relu,0.14,137,selu,0.44,0.0007000000000000001,RMSprop,435,0.999413788318634,,92,,,630.0,leaky_relu,0.003,388.0,leaky_relu,0.298,0.19,125.0,elu,,0.209,,,,,,,0.06999999999999999,,
251,tanh,,0.035,7,618,leaky_relu,0.165,249,tanh,0.352,0.00030000000000000003,RMSprop,495,0.9992613792419434,,93,0.16,,366.0,leaky_relu,0.215,721.0,relu,0.373,0.13,56.0,tanh,,0.041,677.0,relu,0.41000000000000003,,,,,,
256,tanh,,0.246,6,465,relu,0.058,315,elu,0.487,0.0012000000000000001,RMSprop,463,0.9979482889175415,,94,,,562.0,elu,0.158,534.0,selu,0.40900000000000003,,420.0,swish,,0.169,,,,,,,,,
247,relu,,0.213,6,528,swish,0.032,370,relu,0.401,0.0001,RMSprop,31,0.9992731213569641,,95,,,217.0,leaky_relu,0.247,592.0,leaky_relu,0.252,0.16,166.0,selu,,0.381,,,,,,,0.26,,
143,leaky_relu,0.19,0.264,3,420,leaky_relu,0.34400000000000003,271,relu,0.132,0.006600000000000001,RMSprop,278,0.9444901538708551,,96,0.12,,,,,,,,,,,,,,,,,,,,,
236,leaky_relu,0.26,0.299,5,359,relu,0.267,890,leaky_relu,0.317,0.0021,RMSprop,361,0.9993786215782166,,97,,0.17,435.0,relu,0.28300000000000003,654.0,elu,0.357,,,,,,,,,,,,,,
215,swish,,0.342,6,452,selu,0.124,281,elu,0.339,0.0009000000000000001,Adam,406,0.9992848634719849,,98,,,607.0,selu,0.188,801.0,relu,0.436,,957.0,swish,,0.006,,,,,,,,,
229,selu,,0.256,8,739,elu,0.10200000000000001,972,swish,0.303,0.0068000000000000005,RMSprop,243,0.4987572431564331,,99,,,478.0,leaky_relu,0.132,611.0,swish,0.463,0.25,100.0,relu,,0.035,521.0,swish,0.453,983.0,tanh,0.266,,,
